               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099297,            0.012805,            0.039709,                   0,                   0,                   0,                   0,            0.086072,           0.0097234,            0.033136,            0.070698,           0.0032558,           0.0032558
                   1,            0.090636,            0.011874,            0.035604,                   0,                   0,                   0,                   0,            0.082322,            0.010888,            0.030103,            0.040676,           0.0065674,           0.0065674
                   2,             0.08895,            0.012394,            0.034247,          1.3109e-05,           0.0015649,          6.6676e-06,          1.6657e-06,             0.08052,            0.010827,            0.028281,            0.010632,            0.009857,            0.009857
                   3,            0.088662,            0.013266,            0.033342,          0.00022944,            0.020118,          0.00012551,          2.2251e-05,            0.079832,            0.011537,            0.027734,            0.009901,            0.009901,            0.009901
                   4,            0.087018,            0.012958,             0.03274,          0.00088433,            0.048624,          0.00066682,           0.0002398,            0.078724,             0.01206,            0.027339,            0.009901,            0.009901,            0.009901
                   5,            0.083348,            0.013356,             0.03143,           0.0015078,             0.11008,           0.0020606,          0.00047336,            0.077131,            0.012836,            0.027023,            0.009868,            0.009868,            0.009868
                   6,            0.081272,            0.014193,            0.029284,           0.0023142,             0.17309,            0.013911,           0.0033778,            0.075146,            0.013519,            0.023794,            0.009835,            0.009835,            0.009835
                   7,            0.081363,            0.013907,            0.029392,             0.87184,            0.020924,            0.012034,           0.0026277,            0.074059,             0.01354,            0.023399,            0.009802,            0.009802,            0.009802
                   8,             0.07394,            0.014509,             0.02803,              0.5605,            0.038925,            0.028348,           0.0060863,            0.068787,            0.015083,            0.022353,            0.009769,            0.009769,            0.009769
                   9,            0.073194,            0.015198,            0.028992,             0.41401,            0.082696,             0.05345,             0.01482,            0.064142,             0.01575,            0.024554,            0.009736,            0.009736,            0.009736
                  10,             0.06417,            0.015047,            0.027119,             0.07291,             0.17607,            0.059386,            0.015896,            0.055919,            0.014444,            0.022374,            0.009703,            0.009703,            0.009703
                  11,            0.062402,            0.015061,            0.026124,            0.094604,             0.20477,            0.083793,            0.025337,             0.05483,            0.015441,            0.021792,             0.00967,             0.00967,             0.00967
                  12,            0.059813,             0.01436,            0.026927,               0.137,             0.26593,             0.12715,            0.041257,            0.057269,            0.012902,            0.021406,            0.009637,            0.009637,            0.009637
                  13,            0.058391,            0.013897,             0.02514,             0.17451,             0.34354,             0.14013,            0.040811,            0.052073,            0.014446,            0.020787,            0.009604,            0.009604,            0.009604
                  14,            0.058731,            0.013971,            0.025014,             0.19385,             0.35801,             0.20275,            0.069085,            0.048837,            0.014822,            0.020608,            0.009571,            0.009571,            0.009571
                  15,            0.057004,            0.014629,            0.025195,             0.25695,             0.29967,             0.23281,            0.079112,            0.044985,            0.012318,            0.019769,            0.009538,            0.009538,            0.009538
                  16,            0.056784,            0.014167,            0.024728,             0.28079,             0.33541,              0.2688,            0.088126,            0.044773,            0.012108,            0.019906,            0.009505,            0.009505,            0.009505
                  17,            0.058548,            0.013917,            0.026876,             0.28715,              0.3442,             0.27126,            0.098242,            0.044063,            0.011918,            0.019494,            0.009472,            0.009472,            0.009472
                  18,            0.052101,            0.013796,            0.023536,             0.29822,             0.36287,             0.28942,            0.088587,            0.043463,              0.0124,             0.01842,            0.009439,            0.009439,            0.009439
                  19,            0.051209,             0.01409,            0.022803,             0.33788,             0.40873,             0.33811,             0.11625,            0.042223,            0.011738,            0.017883,            0.009406,            0.009406,            0.009406
                  20,            0.054666,            0.014036,            0.024117,             0.30394,             0.43298,             0.32669,             0.10494,            0.042969,            0.011651,            0.016782,            0.009373,            0.009373,            0.009373
                  21,             0.04934,            0.013606,            0.021645,             0.36144,              0.3718,             0.32407,              0.1136,               0.042,            0.012091,            0.017169,             0.00934,             0.00934,             0.00934
                  22,            0.047956,            0.013882,            0.019624,             0.44024,                 0.4,             0.34629,             0.12939,            0.039962,            0.012246,             0.01668,            0.009307,            0.009307,            0.009307
                  23,            0.049885,            0.013284,            0.023447,             0.43337,             0.44492,             0.37197,             0.13814,            0.040328,            0.011435,            0.016945,            0.009274,            0.009274,            0.009274
                  24,             0.04777,            0.013505,            0.020198,              0.3423,             0.43198,             0.34926,             0.10101,            0.040793,            0.012071,            0.016363,            0.009241,            0.009241,            0.009241
                  25,            0.049358,            0.013659,            0.021251,             0.44865,              0.4928,             0.43529,             0.15753,            0.037878,            0.011401,            0.015559,            0.009208,            0.009208,            0.009208
                  26,            0.048904,             0.01342,            0.019431,             0.54839,             0.54635,             0.47096,             0.18733,            0.037914,            0.010818,            0.014302,            0.009175,            0.009175,            0.009175
                  27,            0.048505,            0.013325,            0.019808,             0.45101,             0.52629,             0.40374,             0.16016,            0.038946,             0.01109,            0.014445,            0.009142,            0.009142,            0.009142
                  28,            0.052281,            0.013024,            0.020525,              0.5396,             0.56369,             0.47087,             0.16608,            0.041139,             0.01072,            0.014015,            0.009109,            0.009109,            0.009109
                  29,            0.050089,            0.012932,            0.019732,             0.51103,             0.51447,             0.45203,             0.15986,            0.038399,            0.011017,            0.013715,            0.009076,            0.009076,            0.009076
                  30,            0.047865,            0.013373,            0.018484,             0.51894,             0.53645,             0.45887,              0.1741,            0.038999,             0.01193,            0.013262,            0.009043,            0.009043,            0.009043
                  31,            0.045712,            0.012542,            0.019543,             0.53308,             0.60788,             0.49681,             0.17922,            0.036359,            0.010706,            0.012509,             0.00901,             0.00901,             0.00901
